,types,rarity,skin,total_traits,traits,total_hidden_traits,hidden_traits
2932,Male,4421,Mid,1,Front Beard,0,
2933,Male,9986,Dark,3,"Bandana,Cigarette,Earring",0,
2934,Male,7237,Dark,2,"Goat,Peak Spike",0,
2935,Male,1772,Dark,4,"Big Beard,Cap Forward,Classic Shades,Earring",0,
2936,Male,7282,Dark,3,"Crazy Hair,Goat,Horned Rim Glasses",0,
2937,Female,5431,Dark,3,"Purple Eye Shadow,Purple Lipstick,Stringy Hair",0,
2938,Zombie,539,Zombie,1,Wild Hair,0,
2939,Male,8946,Light,2,"Earring,Knitted Cap",0,
2940,Female,876,Albino,5,"Blonde Bob,Clown Eyes Blue,Earring,Hot Lipstick,Spots",1,Earring
2941,Female,5833,Mid,2,"Bandana,Green Eye Shadow",0,
2942,Male,966,Dark,2,"Frumpy Hair,Spots",0,
2943,Female,8442,Light,3,"Clown Eyes Green,Hot Lipstick,Stringy Hair",0,
2944,Male,9366,Light,3,"Frumpy Hair,Nerd Glasses,Shadow Beard",0,
2945,Female,2463,Dark,4,"Earring,Purple Eye Shadow,Purple Lipstick,Straight Hair Dark",1,Earring
2946,Female,3056,Light,3,"Classic Shades,Dark Hair,Earring",1,Earring
2947,Male,5071,Dark,4,"Bandana,Earring,Front Beard Dark,Small Shades",0,
2948,Male,7178,Light,2,"Eye Mask,Wild Hair",0,
2949,Male,3558,Light,4,"Earring,Eye Patch,Medical Mask,Mohawk Thin",0,
2950,Female,8034,Dark,1,Headband,0,
2951,Male,3916,Light,2,"Police Cap,Smile",0,
2952,Male,9003,Mid,3,"Big Shades,Earring,Mohawk Dark",0,
2953,Male,5846,Mid,4,"Normal Beard Black,Regular Shades,Vape,Wild Hair",0,
2954,Female,1581,Albino,2,"VR,Wild Blonde",0,
2955,Male,4111,Dark,3,"Clown Nose,Front Beard,Frumpy Hair",0,
2956,Male,9615,Dark,3,"Messy Hair,Regular Shades,Shadow Beard",0,
2957,Male,9266,Albino,4,"Cigarette,Earring,Mohawk,Mole",0,
2958,Female,711,Light,2,"Clown Eyes Blue,Pink With Hat",0,
2959,Male,7375,Albino,3,"Clown Eyes Green,Muttonchops,Shaved Head",0,
2960,Female,3479,Mid,2,"Medical Mask,Tassle Hat",0,
2961,Male,1789,Mid,4,"Big Beard,Frown,Mole,Wild Hair",1,Frown
2962,Male,6785,Mid,4,"Cigarette,Clown Eyes Green,Crazy Hair,Normal Beard Black",0,
2963,Female,5388,Mid,3,"Mohawk,Purple Eye Shadow,Purple Lipstick",0,
2964,Male,76,Light,1,Beanie,0,
2965,Male,6912,Mid,3,"Horned Rim Glasses,Normal Beard,Shaved Head",0,
2966,Female,5626,Dark,3,"Blue Eye Shadow,Knitted Cap,Pipe",0,
2967,Zombie,513,Zombie,2,"Chinstrap,Mohawk Thin",0,
2968,Female,5852,Light,3,"Eye Mask,Mohawk Dark,Vape",0,
2969,Female,9354,Mid,3,"Classic Shades,Frumpy Hair,Hot Lipstick",0,
2970,Male,9778,Dark,3,"Earring,Shadow Beard,Stringy Hair",0,
2971,Male,7774,Dark,3,"Classic Shades,Mole,Peak Spike",0,
2972,Female,8438,Mid,2,"Clown Eyes Green,Messy Hair",0,
2973,Female,7977,Dark,3,"Frumpy Hair,Purple Lipstick,VR",0,
2974,Female,8340,Dark,3,"Black Lipstick,Clown Eyes Green,Crazy Hair",0,
2975,Male,4694,Light,2,"Cap Forward,Muttonchops",0,
2976,Male,8640,Dark,2,"Headband,Regular Shades",0,
2977,Female,2570,Light,3,"Clown Eyes Green,Hot Lipstick,Straight Hair Dark",0,
2978,Female,717,Mid,3,"Black Lipstick,Pink With Hat,Regular Shades",0,
2979,Male,5145,Mid,2,"Front Beard Dark,Wild Hair",0,
2980,Male,4641,Light,3,"Cap Forward,Mustache,VR",0,
2981,Female,459,Mid,2,"Mohawk Thin,Welding Goggles",0,
2982,Male,3553,Light,2,"Knitted Cap,Medical Mask",0,
2983,Male,7523,Dark,3,"Earring,Regular Shades,Shaved Head",0,
2984,Female,2267,Mid,3,"Hot Lipstick,Red Mohawk,Regular Shades",0,
2985,Male,338,Dark,2,"Buck Teeth,Fedora",0,
2986,Male,5606,Light,3,"Earring,Handlebars,Messy Hair",0,
2987,Male,6582,Dark,2,"Mustache,Shaved Head",0,
2988,Male,6861,Light,3,"Cigarette,Frumpy Hair,Normal Beard Black",0,
2989,Male,7551,Dark,2,"Horned Rim Glasses,Shaved Head",0,
2990,Male,3256,Dark,2,"Nerd Glasses,Purple Hair",0,
2991,Male,6053,Mid,2,"Front Beard,Mohawk Thin",0,
2992,Male,3954,Light,3,"Chinstrap,Police Cap,Small Shades",0,
2993,Male,5028,Light,3,"Do-rag,Front Beard Dark,Horned Rim Glasses",0,
2994,Female,1179,Dark,3,"Blonde Short,Hot Lipstick,Nerd Glasses",0,
2995,Male,4501,Dark,1,Eye Patch,0,
2996,Male,5483,Dark,2,"Do-rag,Handlebars",0,
2997,Female,2572,Dark,2,"Clown Eyes Green,Clown Hair Green",0,
2998,Male,3881,Mid,3,"Earring,Fedora,Shadow Beard",0,
2999,Male,5156,Mid,3,"Eye Patch,Front Beard Dark,Stringy Hair",0,
3000,Male,7044,Mid,2,"Frumpy Hair,Normal Beard",0,
3001,Male,2328,Dark,2,"Nerd Glasses,Vampire Hair",0,
3002,Female,5394,Dark,2,"Mohawk,Purple Eye Shadow",0,
3003,Male,5975,Dark,2,"Do-rag,Front Beard",0,
3004,Female,9219,Mid,4,"Earring,Mohawk,Nerd Glasses,Purple Lipstick",0,
3005,Female,475,Mid,2,"Messy Hair,Welding Goggles",0,
3006,Male,6025,Mid,2,"Crazy Hair,Front Beard",0,
3007,Male,6514,Mid,2,"3D Glasses,Wild Hair",0,
3008,Female,3699,Dark,2,"Horned Rim Glasses,Tassle Hat",0,
3009,Male,3352,Dark,5,"Big Shades,Cigarette,Earring,Normal Beard,Peak Spike",0,
3010,Male,2261,Mid,2,"Shadow Beard,Vampire Hair",0,
3011,Male,23,Dark,6,"Earring,Frown,Normal Beard,Pipe,Small Shades,Vampire Hair",1,Frown
3012,Male,3471,Light,2,"Gold Chain,Stringy Hair",0,
3013,Male,3406,Mid,3,"Chinstrap,Gold Chain,Stringy Hair",0,
3014,Male,9496,Dark,3,"Horned Rim Glasses,Shadow Beard,Wild Hair",0,
3015,Female,447,Mid,3,"Crazy Hair,Hot Lipstick,Welding Goggles",0,
3016,Male,4266,Light,4,"Clown Eyes Green,Messy Hair,Normal Beard Black,Smile",1,Smile
3017,Male,1787,Dark,4,"Big Beard,Eye Mask,Frown,Knitted Cap",1,Frown
3018,Male,7053,Albino,3,"Cigarette,Normal Beard,Wild Hair",0,
3019,Male,6206,Light,3,"Chinstrap,Eye Patch,Mohawk Dark",0,
3020,Male,6315,Mid,3,"Cigarette,Do-rag,Luxurious Beard",0,
3021,Male,5507,Mid,3,"Handlebars,Messy Hair,VR",0,
3022,Male,4946,Light,2,"Clown Eyes Green,Hoodie",0,
3023,Male,9896,Mid,3,"Bandana,Earring,Shadow Beard",0,
3024,Male,7979,Albino,2,"Frumpy Hair,VR",0,
3025,Female,8493,Dark,3,"Clown Eyes Blue,Hot Lipstick,Knitted Cap",0,
3026,Female,1175,Light,2,"Blonde Short,Horned Rim Glasses",0,
3027,Male,5011,Light,3,"3D Glasses,Bandana,Front Beard Dark",0,
3028,Male,9746,Albino,3,"Bandana,Eye Patch,Shadow Beard",0,
3029,Female,1994,Light,3,"Blue Eye Shadow,Earring,Red Mohawk",0,
3030,Female,8586,Mid,2,"Clown Eyes Blue,Stringy Hair",0,
3031,Female,3709,Mid,2,"Nerd Glasses,Tassle Hat",0,
3032,Female,981,Light,2,"Rosy Cheeks,Wild Blonde",0,
3033,Male,7503,Mid,3,"Cigarette,Do-rag,Shadow Beard",0,
3034,Female,5827,Dark,3,"Bandana,Green Eye Shadow,Hot Lipstick",0,
3035,Male,5592,Mid,3,"Handlebars,Nerd Glasses,Wild Hair",0,
3036,Male,6338,Dark,3,"Eye Patch,Luxurious Beard,Peak Spike",0,
3037,Female,2400,Dark,2,"Blonde Bob,Hot Lipstick",0,
3038,Female,941,Albino,3,"Cap,Cigarette,Spots",0,
3039,Male,4797,Dark,3,"Frown,Hoodie,Mustache",0,
3040,Male,5100,Mid,3,"Front Beard Dark,Knitted Cap,Nerd Glasses",0,
3041,Male,3174,Mid,2,"Mustache,Purple Hair",0,
3042,Female,8519,Dark,3,"Black Lipstick,Clown Eyes Blue,Mohawk",0,
3043,Female,1519,Light,3,"Blue Eye Shadow,Straight Hair Blonde,Vape",0,
3044,Female,2606,Mid,2,"Classic Shades,Straight Hair Dark",0,
3045,Male,7783,Light,3,"Horned Rim Glasses,Peak Spike,Shadow Beard",0,
3046,Male,8156,Light,3,"Cap,Classic Shades,Earring",0,
3047,Male,9507,Light,3,"Earring,Shadow Beard,Wild Hair",0,
3048,Male,8437,Light,2,"Clown Eyes Green,Messy Hair",0,
3049,Male,4908,Light,2,"Goat,Hoodie",0,
3050,Female,9808,Mid,2,"Horned Rim Glasses,Stringy Hair",0,
3051,Female,2377,Light,3,"Earring,Purple Lipstick,Red Mohawk",0,
3052,Male,3524,Light,3,"Cap,Medical Mask,Normal Beard Black",0,
3053,Male,7386,Albino,3,"Do-rag,Earring,Muttonchops",0,
3054,Male,8311,Mid,2,"Messy Hair,Small Shades",0,
3055,Male,5044,Albino,3,"Front Beard Dark,Nerd Glasses,Peak Spike",0,
3056,Male,4713,Albino,3,"Cap Forward,Earring,Small Shades",0,
3057,Female,698,Dark,3,"Clown Eyes Green,Hot Lipstick,Pink With Hat",0,
3058,Female,5360,Dark,2,"Crazy Hair,Purple Eye Shadow",0,
3059,Female,8706,Dark,2,"Earring,Headband",0,
3060,Female,602,Albino,1,Pigtails,0,
3061,Male,4984,Mid,2,"Big Shades,Hoodie",0,
3062,Male,6319,Light,3,"Earring,Luxurious Beard,Shaved Head",0,
3063,Male,2470,Dark,2,"Clown Hair Green,Handlebars",0,
3064,Male,1459,Light,3,"Cowboy Hat,Earring,Horned Rim Glasses",0,
3065,Male,9522,Light,2,"Regular Shades,Wild Hair",0,
3066,Female,8327,Mid,4,"Black Lipstick,Clown Eyes Green,Earring,Headband",0,
3067,Male,7214,Dark,4,"Do-rag,Earring,Goat,Horned Rim Glasses",0,
3068,Male,8298,Mid,3,"Shadow Beard,Small Shades,Wild Hair",0,
3069,Male,8846,Dark,2,"Eye Patch,Knitted Cap",0,
3070,Male,9336,Light,2,"Earring,Mohawk Thin",0,
3071,Female,2693,Light,2,"Clown Hair Green,Hot Lipstick",0,
3072,Male,7548,Mid,3,"Big Shades,Earring,Shaved Head",0,
3073,Male,1797,Light,3,"Bandana,Big Beard,Eye Mask",0,
3074,Male,329,Mid,4,"Buck Teeth,Earring,Purple Hair,Vape",1,Earring
3075,Male,7082,Light,3,"Do-rag,Eye Mask,Pipe",0,
3076,Female,8367,Albino,2,"Clown Eyes Green,Mohawk Dark",0,
3077,Male,1448,Light,2,"Classic Shades,Cowboy Hat",0,
3078,Female,1504,Light,3,"Purple Eye Shadow,Purple Lipstick,Wild Blonde",0,
3079,Female,3641,Light,2,"Eye Mask,Tassle Hat",0,
3080,Male,4614,Light,3,"Cap Forward,Earring,Front Beard",0,
3081,Male,8856,Light,2,"Classic Shades,Knitted Cap",0,
3082,Female,8361,Light,3,"Black Lipstick,Clown Eyes Green,Mohawk Dark",0,
3083,Male,1382,Dark,2,"Chinstrap,Cowboy Hat",0,
3084,Female,1068,Light,4,"Black Lipstick,Mohawk Dark,Regular Shades,Rosy Cheeks",0,
3085,Male,6767,Mid,4,"Earring,Frumpy Hair,Normal Beard Black,VR",0,
3086,Male,8171,Mid,3,"Cap,Mole,Regular Shades",0,
3087,Female,3610,Dark,3,"Blue Eye Shadow,Hot Lipstick,Tassle Hat",0,
3088,Male,804,Dark,4,"Earring,Normal Beard Black,Top Hat,VR",0,
3089,Female,8238,Albino,2,"Cap,Earring",0,
3090,Male,5197,Mid,4,"Classic Shades,Frown,Luxurious Beard,Mohawk",1,Frown
3091,Male,7603,Albino,3,"Classic Shades,Muttonchops,Peak Spike",0,
3092,Female,5735,Light,2,"Green Eye Shadow,Headband",0,
3093,Male,9929,Dark,2,"Bandana,Horned Rim Glasses",0,
3094,Male,371,Light,4,"Buck Teeth,Classic Shades,Muttonchops,Stringy Hair",0,
3095,Male,6817,Mid,3,"Cigarette,Knitted Cap,Normal Beard Black",0,
3096,Female,684,Mid,4,"Clown Eyes Blue,Earring,Pink With Hat,Vape",1,Earring
3097,Male,3993,Mid,3,"Earring,Normal Beard,Police Cap",0,
3098,Female,7871,Light,4,"Hot Lipstick,Mohawk Thin,Nerd Glasses,Pipe",0,
3099,Male,925,Light,4,"Bandana,Chinstrap,Earring,Spots",0,
3100,Alien,15,Alien,1,Headband,0,
3101,Male,4964,Light,3,"Hoodie,Nerd Glasses,Shadow Beard",0,
3102,Female,702,Mid,2,"Clown Eyes Green,Pink With Hat",0,
3103,Male,2611,Dark,2,"Clown Hair Green,Shadow Beard",0,
3104,Male,9006,Dark,2,"Horned Rim Glasses,Mohawk Dark",0,
3105,Female,444,Dark,1,Welding Goggles,0,
3106,Male,84,Dark,2,"Beanie,Shadow Beard",0,
3107,Male,55,Dark,3,"Beanie,Big Beard,Earring",0,
3108,Male,7960,Light,2,"Mohawk Dark,VR",0,
3109,Female,8201,Mid,3,"Cap,Nerd Glasses,Purple Lipstick",0,
3110,Female,8596,Dark,3,"Bandana,Clown Eyes Blue,Earring",0,
3111,Female,8048,Albino,1,Knitted Cap,0,
3112,Female,1484,Mid,5,"Blue Eye Shadow,Cigarette,Hot Lipstick,Mole,Straight Hair Blonde",0,
3113,Female,3035,Dark,3,"Clown Eyes Blue,Dark Hair,Purple Lipstick",0,
3114,Male,8855,Dark,2,"Classic Shades,Knitted Cap",0,
3115,Male,7307,Mid,3,"Goat,Mohawk Thin,Regular Shades",0,
3116,Female,2207,Light,3,"Blonde Bob,Clown Eyes Blue,Hot Lipstick",0,
3117,Male,5275,Light,3,"Crazy Hair,Frown,Regular Shades",0,
3118,Female,8934,Mid,2,"Hot Lipstick,Knitted Cap",0,
3119,Female,1303,Dark,3,"Black Lipstick,Horned Rim Glasses,Wild White Hair",0,
3120,Male,3493,Mid,3,"Cap Forward,Front Beard Dark,Medical Mask",0,
3121,Male,7195,Light,2,"Eye Mask,Stringy Hair",0,
3122,Male,6436,Dark,3,"Classic Shades,Luxurious Beard,Mohawk Dark",0,
3123,Male,7637,Dark,4,"Cap,Cigarette,Muttonchops,Small Shades",0,
3124,Female,9543,Mid,2,"Big Shades,Wild Hair",0,
3125,Female,2240,Light,3,"Classic Shades,Half Shaved,Purple Lipstick",0,
3126,Female,4575,Light,2,"Black Lipstick,Earring",0,
3127,Male,3342,Light,5,"Chinstrap,Do-rag,Earring,Mole,Nerd Glasses",1,Mole
3128,Male,9631,Albino,3,"Earring,Messy Hair,Regular Shades",0,
3129,Male,2052,Dark,3,"Chinstrap,Vampire Hair,VR",0,
3130,Male,1006,Mid,5,"Earring,Mohawk Dark,Muttonchops,Rosy Cheeks,Small Shades",0,
3131,Female,3094,Albino,3,"Dark Hair,Earring,Mole",1,Earring
3132,Male,7567,Albino,2,"Nerd Glasses,Shaved Head",0,
3133,Male,5094,Light,2,"Crazy Hair,Front Beard Dark",0,
3134,Male,3440,Mid,3,"Crazy Hair,Gold Chain,Regular Shades",0,
3135,Female,703,Light,3,"Black Lipstick,Clown Eyes Blue,Pink With Hat",0,
3136,Male,1035,Dark,3,"3D Glasses,Headband,Rosy Cheeks",0,
3137,Male,7061,Mid,3,"Big Shades,Messy Hair,Normal Beard",0,
3138,Male,8152,Light,2,"Cap,Eye Patch",0,
3139,Female,658,Dark,3,"Big Shades,Pink With Hat,Spots",0,
3140,Female,9257,Light,2,"Black Lipstick,Mohawk Thin",0,
3141,Male,6844,Mid,3,"Mohawk Thin,Nerd Glasses,Normal Beard Black",0,
3142,Male,7210,Light,3,"Do-rag,Goat,Small Shades",0,
3143,Male,5479,Dark,3,"Earring,Handlebars,Shaved Head",0,
3144,Male,1403,Dark,2,"Cowboy Hat,Normal Beard Black",0,
3145,Male,7459,Albino,3,"Do-rag,Eye Patch,Mole",0,
3146,Male,5874,Mid,2,"Peak Spike,Vape",0,
3147,Male,7263,Light,3,"Bandana,Goat,Small Shades",0,
3148,Female,3697,Dark,3,"Big Shades,Cigarette,Tassle Hat",0,
3149,Female,5384,Mid,3,"Black Lipstick,Mohawk,Purple Eye Shadow",0,
3150,Male,9085,Dark,2,"Eye Patch,Mohawk",0,
3151,Female,2552,Albino,1,Straight Hair Dark,0,
3152,Male,5332,Dark,3,"Bandana,Frown,Regular Shades",0,
3153,Female,1640,Dark,2,"Classic Shades,Straight Hair Blonde",0,
3154,Male,1802,Mid,3,"Big Beard,Do-rag,Earring",0,
3155,Female,3087,Mid,3,"Black Lipstick,Cigarette,Dark Hair",0,
3156,Male,5014,Mid,4,"Cigarette,Eye Mask,Front Beard Dark,Mohawk",0,
3157,Male,7515,Light,2,"Shadow Beard,Shaved Head",0,
3158,Female,9279,Albino,3,"Earring,Mohawk Thin,Purple Lipstick",0,
3159,Male,5524,Mid,3,"Handlebars,Small Shades,Wild Hair",0,
3160,Male,858,Dark,2,"Earring,Top Hat",0,
3161,Male,7164,Mid,2,"Eye Mask,Mohawk",0,
3162,Female,5813,Mid,2,"Green Eye Shadow,Messy Hair",0,
3163,Male,6847,Albino,2,"Mohawk,Normal Beard Black",0,
3164,Male,6808,Dark,3,"Crazy Hair,Earring,Normal Beard Black",0,
3165,Female,1605,Dark,2,"Clown Eyes Green,Wild Blonde",0,
3166,Female,8915,Dark,2,"Black Lipstick,Knitted Cap",0,
3167,Male,6424,Light,3,"3D Glasses,Earring,Knitted Cap",0,
3168,Male,6140,Dark,2,"Chinstrap,Do-rag",0,
3169,Male,5326,Dark,2,"Frown,Messy Hair",0,
3170,Female,1251,Dark,2,"Green Eye Shadow,Wild White Hair",0,
3171,Male,4545,Mid,2,"Cigarette,Small Shades",0,
3172,Male,5330,Dark,2,"Frown,Stringy Hair",0,
3173,Male,4583,Dark,4,"Cap Forward,Front Beard Dark,Horned Rim Glasses,Mole",0,
3174,Male,1071,Mid,2,"Mohawk Dark,Rosy Cheeks",0,
3175,Male,6923,Light,2,"Normal Beard,Shaved Head",0,
3176,Female,434,Mid,3,"Earring,Straight Hair,Welding Goggles",1,Earring
3177,Male,2457,Dark,3,"Clown Hair Green,Frown,Luxurious Beard",1,Frown
3178,Female,1259,Light,3,"3D Glasses,Purple Lipstick,Wild White Hair",0,
3179,Female,5785,Light,2,"Green Eye Shadow,Mohawk",0,
3180,Male,6416,Dark,3,"3D Glasses,Knitted Cap,Shadow Beard",0,
3181,Male,6060,Dark,3,"Front Beard,Frumpy Hair,Horned Rim Glasses",0,
3182,Male,1057,Light,2,"Cap,Rosy Cheeks",0,
3183,Female,1947,Albino,4,"Earring,Hot Lipstick,Purple Eye Shadow,Red Mohawk",0,
3184,Male,5317,Light,4,"Frown,Regular Shades,Shadow Beard,Wild Hair",0,
3185,Female,9707,Light,3,"Earring,Messy Hair,Purple Lipstick",0,
3186,Male,8764,Dark,2,"Crazy Hair,Horned Rim Glasses",0,
3187,Female,2416,Mid,2,"Blonde Bob,Cigarette",0,
3188,Male,3148,Light,2,"Front Beard,Purple Hair",0,
3189,Male,5589,Dark,2,"Frumpy Hair,Handlebars",0,
3190,Female,2849,Dark,3,"Earring,Hot Lipstick,Straight Hair",1,Earring
3191,Male,4159,Mid,3,"Clown Nose,Mohawk Dark,Shadow Beard",0,
3192,Male,4096,Dark,3,"Clown Nose,Front Beard Dark,Knitted Cap",0,
3193,Male,7668,Mid,2,"Clown Eyes Green,Peak Spike",0,
3194,Male,4621,Mid,4,"Big Shades,Cap Forward,Chinstrap,Earring",0,
3195,Male,5130,Light,2,"Front Beard Dark,Mohawk Thin",0,
3196,Male,3357,Dark,5,"Cigarette,Earring,Goat,Horned Rim Glasses,Knitted Cap",0,
3197,Male,764,Mid,3,"Regular Shades,Smile,Top Hat",0,
3198,Female,3084,Mid,3,"Black Lipstick,Dark Hair,Mole",0,
3199,Male,5903,Dark,3,"Knitted Cap,Mole,Vape",0,
3200,Male,8651,Mid,3,"Cigarette,Headband,Horned Rim Glasses",0,
3201,Female,1526,Light,3,"Blue Eye Shadow,Purple Lipstick,Straight Hair Blonde",0,
3202,Female,5404,Albino,2,"Frumpy Hair,Purple Eye Shadow",0,
3203,Male,6578,Dark,3,"Cigarette,Mustache,Shaved Head",0,
3204,Male,7618,Dark,3,"Classic Shades,Peak Spike,Pipe",0,
3205,Male,7696,Dark,4,"Classic Shades,Earring,Mohawk Dark,Muttonchops",0,
3206,Male,3463,Dark,2,"Gold Chain,Messy Hair",0,
3207,Female,4408,Mid,3,"Blue Eye Shadow,Cigarette,Earring",0,
3208,Male,2644,Mid,2,"Clown Hair Green,Horned Rim Glasses",0,
3209,Male,6440,Dark,3,"3D Glasses,Earring,Mohawk Dark",0,
3210,Female,8776,Mid,3,"Crazy Hair,Nerd Glasses,Purple Lipstick",0,
3211,Zombie,523,Zombie,2,"Goat,Headband",0,
3212,Female,1568,Mid,4,"Eye Mask,Pipe,Purple Lipstick,Straight Hair Blonde",0,
3213,Male,9080,Dark,3,"Earring,Eye Patch,Mohawk Thin",0,
3214,Female,9016,Light,4,"Cigarette,Earring,Mohawk Dark,Nerd Glasses",0,
3215,Male,8956,Dark,2,"Eye Patch,Mohawk Dark",0,
3216,Male,4926,Mid,2,"Hoodie,Pipe",0,
3217,Male,6254,Albino,4,"Big Shades,Chinstrap,Earring,Stringy Hair",0,
3218,Male,9357,Dark,3,"Classic Shades,Earring,Frumpy Hair",0,
3219,Female,9255,Dark,2,"Black Lipstick,Mohawk",0,
3220,Female,8753,Dark,3,"Big Shades,Crazy Hair,Hot Lipstick",0,
3221,Female,5917,Mid,4,"Black Lipstick,Earring,Mohawk,Vape",0,
3222,Female,9008,Light,2,"Big Shades,Mohawk Dark",0,
3223,Male,7175,Albino,3,"Cigarette,Eye Mask,Wild Hair",0,
3224,Male,7021,Mid,3,"Cigarette,Mohawk Thin,Normal Beard",0,
3225,Female,2964,Light,4,"Earring,Messy Hair,Mole,Silver Chain",0,
3226,Male,7382,Mid,3,"Do-rag,Muttonchops,Nerd Glasses",0,
3227,Female,2829,Mid,3,"Earring,Nerd Glasses,Straight Hair",1,Earring
3228,Male,6129,Light,3,"Chinstrap,Do-rag,Eye Patch",0,
3229,Male,4662,Light,4,"Cap Forward,Earring,Normal Beard,Small Shades",0,
3230,Female,990,Light,2,"Half Shaved,Rosy Cheeks",0,
3231,Female,2739,Dark,2,"Purple Eye Shadow,Straight Hair",0,
3232,Male,6445,Mid,2,"3D Glasses,Mohawk Dark",0,
3233,Male,4963,Mid,3,"Big Shades,Hoodie,Shadow Beard",0,
3234,Male,5605,Albino,2,"Handlebars,Messy Hair",0,
3235,Male,7068,Dark,2,"Normal Beard,Stringy Hair",0,
3236,Female,5628,Mid,3,"Blue Eye Shadow,Messy Hair,Pipe",0,
3237,Male,6235,Albino,4,"Chinstrap,Cigarette,Earring,Wild Hair",0,
3238,Male,9633,Dark,3,"Earring,Messy Hair,Regular Shades",0,
3239,Male,7561,Mid,2,"Horned Rim Glasses,Shaved Head",0,
3240,Female,1243,Mid,3,"Blue Eye Shadow,Earring,Wild White Hair",1,Earring
3241,Female,9290,Mid,2,"Mohawk,Purple Lipstick",0,
3242,Male,6146,Mid,4,"Chinstrap,Classic Shades,Earring,Peak Spike",0,
3243,Male,8511,Dark,2,"Clown Eyes Blue,Mohawk Dark",0,
3244,Male,7266,Dark,3,"Clown Eyes Green,Goat,Wild Hair",0,
3245,Male,7409,Dark,3,"Cigarette,Do-rag,VR",0,
3246,Female,2674,Light,2,"Clown Hair Green,Mole",0,
3247,Female,9715,Light,3,"Earring,Hot Lipstick,Messy Hair",0,
3248,Male,7621,Mid,2,"Peak Spike,Pipe",0,
3249,Male,7216,Light,4,"Do-rag,Earring,Goat,Nerd Glasses",0,
3250,Male,4322,Light,3,"Crazy Hair,Horned Rim Glasses,Smile",0,
3251,Female,1740,Albino,2,"Earring,Wild Blonde",0,
3252,Female,1611,Mid,3,"Black Lipstick,Clown Eyes Blue,Wild Blonde",0,
3253,Female,2520,Mid,3,"3D Glasses,Purple Lipstick,Straight Hair Dark",0,
3254,Female,3097,Dark,4,"Cigarette,Dark Hair,Earring,Purple Lipstick",1,Earring
3255,Male,5921,Light,3,"Earring,Mohawk Thin,Vape",0,
3256,Male,1429,Albino,1,Cowboy Hat,0,
3257,Female,9826,Light,3,"Black Lipstick,Earring,Stringy Hair",0,
3258,Male,4681,Mid,3,"Cap Forward,Goat,Nerd Glasses",0,
3259,Male,7971,Light,2,"Mohawk Thin,VR",0,
3260,Male,9752,Dark,3,"Bandana,Earring,Eye Patch",0,
3261,Male,7390,Dark,2,"Muttonchops,Shaved Head",0,
3262,Male,4136,Mid,4,"Clown Nose,Frumpy Hair,Muttonchops,Regular Shades",0,
3263,Female,301,Mid,2,"Black Lipstick,Orange Side",0,
3264,Female,8188,Mid,3,"Big Shades,Cap,Earring",0,
3265,Male,6470,Mid,2,"3D Glasses,Mohawk Thin",0,
3266,Female,9689,Mid,3,"Black Lipstick,Earring,Messy Hair",0,
3267,Female,298,Dark,3,"Black Lipstick,Earring,Orange Side",1,Earring
3268,Male,7267,Light,4,"Clown Eyes Blue,Crazy Hair,Earring,Goat",0,
3269,Female,3042,Dark,2,"Clown Eyes Blue,Dark Hair",0,
3270,Male,8206,Mid,3,"Cap,Earring,Nerd Glasses",0,
3271,Female,587,Light,2,"Green Eye Shadow,Pigtails",0,
3272,Male,8284,Dark,2,"Mohawk,Small Shades",0,
3273,Male,6184,Albino,3,"Chinstrap,Cigarette,Headband",0,
3274,Male,7453,Light,2,"Clown Eyes Blue,Do-rag",0,
3275,Female,2933,Mid,3,"Clown Eyes Blue,Silver Chain,Stringy Hair",0,
3276,Male,4139,Mid,2,"Clown Nose,Peak Spike",0,
3277,Female,3687,Light,3,"Earring,Regular Shades,Tassle Hat",1,Earring
3278,Female,8244,Mid,2,"Cap,Earring",0,
3279,Male,8287,Mid,2,"Mohawk,Small Shades",0,
3280,Male,3114,Mid,3,"Earring,Medical Mask,Purple Hair",1,Earring
3281,Male,78,Dark,3,"Beanie,Earring,Small Shades",0,
3282,Male,6439,Albino,3,"Earring,Luxurious Beard,Mohawk Dark",0,
3283,Female,1061,Light,4,"Clown Eyes Green,Frumpy Hair,Purple Lipstick,Rosy Cheeks",0,
3284,Female,8789,Light,4,"Black Lipstick,Cigarette,Crazy Hair,Earring",0,
3285,Male,5102,Albino,2,"Front Beard Dark,Knitted Cap",0,
3286,Male,7064,Dark,2,"Messy Hair,Normal Beard",0,
3287,Female,4504,Light,1,Classic Shades,0,
3288,Male,4342,Mid,2,"Mohawk Dark,Smile",0,
3289,Female,1700,Dark,4,"Earring,Hot Lipstick,Mole,Wild Blonde",0,
3290,Female,2395,Dark,3,"Earring,Hot Lipstick,Red Mohawk",0,
3291,Male,6954,Light,3,"Big Shades,Cap,Normal Beard",0,
3292,Male,766,Mid,2,"Smile,Top Hat",0,
3293,Female,1312,Mid,4,"Earring,Hot Lipstick,Nerd Glasses,Wild White Hair",1,Earring
3294,Female,1703,Mid,3,"Cigarette,Mole,Straight Hair Blonde",0,
3295,Male,8421,Dark,2,"Clown Eyes Green,Wild Hair",0,
3296,Male,3343,Mid,5,"Chinstrap,Cigarette,Earring,Frumpy Hair,Mole",1,Mole
3297,Male,6615,Mid,3,"Mohawk,Mustache,Small Shades",0,
