,types,rarity,skin,total_traits,traits
1625,Male,8219,Dark,2,"Cap,Mole"
1626,Female,6524,Mid,3,"3D Glasses,Messy Hair,Purple Lipstick"
1627,Male,3986,Mid,2,"Normal Beard Black,Police Cap"
1628,Female,9858,Mid,2,"Hot Lipstick,Stringy Hair"
1629,Female,735,Light,2,"Black Lipstick,Pink With Hat"
1630,Male,839,Albino,2,"Shadow Beard,Top Hat"
1631,Male,4024,Albino,2,"Police Cap,Small Shades"
1632,Male,780,Mid,2,"Handlebars,Top Hat"
1633,Male,9961,Dark,3,"Bandana,Cigarette,Mole"
1634,Female,1609,Dark,4,"Black Lipstick,Clown Eyes Blue,Mole,Wild Blonde"
1635,Female,310,Light,3,"Earring,Hot Lipstick,Orange Side,Hidden Earring"
1636,Male,3318,Dark,5,"Cigarette,Do-rag,Frown,Normal Beard Black,Regular Shades,Hidden Frown"
1637,Female,1563,Light,3,"3D Glasses,Hot Lipstick,Wild Blonde"
1638,Male,5037,Light,2,"Do-rag,Front Beard Dark"
1639,Male,9145,Dark,2,"Mohawk,Shadow Beard"
1640,Male,3806,Mid,3,"Fedora,Mustache,VR"
1641,Male,5286,Light,3,"Frown,Knitted Cap,Mole"
1642,Male,7004,Light,3,"Mohawk Dark,Mole,Normal Beard,Hidden Mole"
1643,Male,4358,Dark,2,"Frumpy Hair,Smile"
1644,Male,1784,Dark,2,"Big Beard,Hoodie"
1645,Female,3724,Dark,3,"Earring,Purple Lipstick,Tassle Hat,Hidden Earring"
1646,Male,6423,Light,3,"Earring,Knitted Cap,Luxurious Beard"
1647,Male,3190,Dark,2,"Eye Mask,Purple Hair"
1648,Female,8381,Mid,3,"Clown Eyes Green,Mohawk Thin,Purple Lipstick"
1649,Male,8732,Albino,4,"Crazy Hair,Earring,Regular Shades,Shadow Beard"
1650,Male,4123,Light,3,"Clown Nose,Messy Hair,Normal Beard Black"
1651,Male,73,Mid,3,"Beanie,Big Shades,Muttonchops"
1652,Female,3729,Dark,4,"Cigarette,Earring,Hot Lipstick,Tassle Hat,Hidden Earring"
1653,Male,4880,Mid,4,"Clown Eyes Green,Earring,Hoodie,Normal Beard,Hidden Earring"
1654,Female,3565,Mid,2,"Medical Mask,Mohawk"
1655,Male,5237,Light,3,"Clown Eyes Green,Frown,Peak Spike"
1656,Male,331,Light,3,"Buck Teeth,Purple Hair,Regular Shades"
1657,Male,8198,Mid,2,"Cap,Horned Rim Glasses"
1658,Zombie,540,Zombie,1,Stringy Hair
1659,Female,2740,Light,2,"Purple Eye Shadow,Straight Hair"
1660,Male,7077,Light,2,"Bandana,Normal Beard"
1661,Female,1177,Light,3,"Black Lipstick,Blonde Short,Nerd Glasses"
1662,Female,2461,Light,4,"Mole,Purple Eye Shadow,Purple Lipstick,Straight Hair Dark"
1663,Male,3241,Albino,3,"Mole,Purple Hair,Regular Shades"
1664,Female,8224,Dark,2,"Cap,Purple Lipstick"
1665,Male,4776,Albino,2,"Cap Forward,Cigarette"
1666,Female,2618,Dark,3,"Purple Lipstick,Regular Shades,Straight Hair Dark"
1667,Male,6489,Mid,2,"Frumpy Hair,Luxurious Beard"
1668,Male,7300,Dark,3,"Earring,Goat,Mohawk Dark"
1669,Female,429,Mid,2,"Red Mohawk,Welding Goggles"
1670,Female,5436,Dark,3,"Earring,Purple Eye Shadow,Stringy Hair"
1671,Female,2748,Albino,2,"Blue Eye Shadow,Straight Hair"
1672,Female,9044,Mid,2,"Mohawk Dark,Mole"
1673,Male,8621,Light,2,"Classic Shades,Headband"
1674,Male,4968,Albino,2,"Hoodie,Shadow Beard"
1675,Male,4052,Light,3,"Earring,Police Cap,Regular Shades"
1676,Male,9445,Mid,2,"Frumpy Hair,Mole"
1677,Male,4391,Mid,1,Front Beard Dark
1678,Female,4549,Mid,2,"Clown Eyes Green,Purple Lipstick"
1679,Female,3281,Light,5,"Cigarette,Earring,Horned Rim Glasses,Purple Lipstick,Tassle Hat,Hidden Earring"
1680,Male,5836,Albino,3,"Chinstrap,Headband,Vape"
1681,Female,2156,Albino,1,Red Mohawk
1682,Male,787,Light,3,"3D Glasses,Chinstrap,Top Hat"
1683,Male,6660,Dark,3,"Big Shades,Mohawk Dark,Mustache"
1684,Female,100,Dark,2,"Choker,Orange Side"
1685,Male,4990,Light,2,"Hoodie,Nerd Glasses"
1686,Male,9661,Dark,2,"Big Shades,Messy Hair"
1687,Male,849,Dark,2,"Horned Rim Glasses,Top Hat"
1688,Female,8440,Mid,3,"Clown Eyes Green,Purple Lipstick,Stringy Hair"
1689,Female,2834,Albino,2,"Black Lipstick,Straight Hair"
1690,Male,9912,Light,3,"Bandana,Horned Rim Glasses,Mole"
1691,Female,2780,Light,3,"Black Lipstick,Clown Eyes Green,Straight Hair"
1692,Male,8866,Dark,3,"Cigarette,Knitted Cap,Shadow Beard"
1693,Female,8348,Dark,2,"Clown Eyes Green,Crazy Hair"
1694,Female,733,Mid,3,"Black Lipstick,Earring,Pink With Hat,Hidden Earring"
1695,Male,6137,Dark,3,"Chinstrap,Earring,Shaved Head"
1696,Male,9783,Mid,2,"Shadow Beard,Stringy Hair"
1697,Female,9178,Albino,3,"Big Shades,Mohawk Thin,Mole"
1698,Male,8425,Mid,2,"Clown Eyes Green,Wild Hair"
1699,Male,7600,Mid,2,"Earring,Shaved Head"
1700,Female,2002,Mid,2,"Blue Eye Shadow,Half Shaved"
1701,Male,9192,Light,3,"Earring,Horned Rim Glasses,Mohawk"
1702,Male,2456,Dark,3,"Clown Hair Green,Front Beard,Frown,Hidden Frown"
1703,Male,1033,Dark,4,"3D Glasses,Do-rag,Muttonchops,Rosy Cheeks"
1704,Male,7777,Light,3,"Cigarette,Classic Shades,Peak Spike"
1705,Female,9235,Light,2,"Mohawk,Nerd Glasses"
1706,Female,2352,Mid,2,"Black Lipstick,Red Mohawk"
1707,Female,8551,Dark,3,"Clown Eyes Blue,Purple Lipstick,Wild Hair"
1708,Male,3852,Albino,1,Fedora
1709,Male,5987,Mid,2,"Front Beard,Peak Spike"
1710,Female,276,Mid,3,"Classic Shades,Orange Side,Pipe"
1711,Female,2539,Dark,2,"Eye Mask,Straight Hair Dark"
1712,Male,4055,Light,2,"Police Cap,Regular Shades"
1713,Female,9874,Mid,2,"Earring,Stringy Hair"
1714,Female,109,Albino,3,"Choker,Classic Shades,Straight Hair Blonde"
1715,Female,2027,Light,2,"Green Eye Shadow,Half Shaved"
1716,Male,9137,Albino,2,"Mohawk Thin,Shadow Beard"
1717,Male,6249,Light,4,"Bandana,Chinstrap,Earring,Eye Patch"
1718,Male,4434,Albino,2,"Luxurious Beard,Mole,Hidden Mole"
1719,Male,4766,Albino,3,"Cap Forward,Earring,Nerd Glasses"
1720,Male,1410,Mid,3,"Big Shades,Cowboy Hat,Normal Beard"
1721,Female,634,Mid,3,"Black Lipstick,Earring,Pigtails"
1722,Male,3814,Light,3,"Fedora,Nerd Glasses,Normal Beard Black"
1723,Male,8208,Light,2,"Cap,Nerd Glasses"
1724,Female,8532,Dark,2,"Clown Eyes Blue,Mohawk"
1725,Female,9719,Mid,2,"Hot Lipstick,Messy Hair"
1726,Female,2511,Light,4,"Clown Hair Green,Hot Lipstick,Mole,Vape"
1727,Male,6548,Mid,2,"3D Glasses,Stringy Hair"
1728,Male,5265,Dark,3,"Frown,Mohawk Thin,Small Shades"
1729,Male,3383,Dark,3,"Gold Chain,Luxurious Beard,Nerd Glasses"
1730,Female,682,Light,2,"Green Eye Shadow,Pink With Hat"
1731,Male,4728,Dark,2,"Cap Forward,Eye Patch"
1732,Male,3964,Dark,3,"3D Glasses,Earring,Police Cap"
1733,Female,9167,Light,2,"Mohawk Thin,Regular Shades"
1734,Female,8375,Mid,3,"Black Lipstick,Clown Eyes Green,Mohawk Thin"
1735,Female,9069,Light,2,"Earring,Mohawk Dark"
1736,Female,2665,Light,2,"Black Lipstick,Straight Hair Dark"
1737,Male,7972,Mid,2,"Mohawk,VR"
1738,Female,2380,Dark,2,"Blonde Bob,Purple Lipstick"
1739,Male,7413,Dark,2,"Shaved Head,VR"
1740,Female,9981,Dark,2,"Bandana,Hot Lipstick"
1741,Male,4515,Mid,1,Big Shades
1742,Female,9802,Dark,2,"Big Shades,Stringy Hair"
1743,Male,9541,Light,2,"Big Shades,Wild Hair"
1744,Female,2451,Light,3,"Big Shades,Clown Nose,Straight Hair Dark"
1745,Male,6331,Mid,2,"3D Glasses,Do-rag"
1746,Female,3007,Albino,3,"Dark Hair,Earring,Green Eye Shadow,Hidden Earring"
1747,Female,8396,Mid,2,"Clown Eyes Green,Mohawk"
1748,Zombie,505,Zombie,3,"Front Beard,Frown,Knitted Cap,Hidden Frown"
1749,Female,2320,Dark,3,"Blonde Bob,Hot Lipstick,Nerd Glasses"
1750,Female,1570,Dark,3,"Eye Mask,Purple Lipstick,Wild Blonde"
1751,Female,627,Light,2,"Horned Rim Glasses,Pigtails"
1752,Female,2344,Light,3,"Black Lipstick,Earring,Half Shaved,Hidden Earring"
1753,Male,967,Light,2,"Frumpy Hair,Spots"
1754,Female,8393,Dark,2,"Clown Eyes Green,Mohawk"
1755,Male,3426,Mid,3,"Crazy Hair,Gold Chain,VR"
1756,Male,6028,Albino,3,"Cigarette,Front Beard,Knitted Cap"
1757,Male,7571,Dark,2,"Nerd Glasses,Shaved Head"
1758,Female,9163,Mid,3,"Earring,Mohawk,Regular Shades"
1759,Female,191,Mid,2,"Hot Lipstick,Pilot Helmet"
1760,Male,8204,Mid,3,"Cap,Cigarette,Nerd Glasses"
1761,Female,1996,Dark,2,"Blue Eye Shadow,Half Shaved"
1762,Male,1059,Mid,4,"Earring,Frumpy Hair,Rosy Cheeks,Small Shades"
1763,Male,3202,Dark,3,"Muttonchops,Purple Hair,Regular Shades"
1764,Male,9400,Light,3,"Big Shades,Earring,Frumpy Hair"
1765,Female,2468,Light,2,"Clown Hair Green,Purple Eye Shadow"
1766,Female,1623,Light,2,"Clown Eyes Blue,Straight Hair Blonde"
1767,Male,5175,Mid,2,"Bandana,Front Beard Dark"
1768,Female,6400,Light,3,"3D Glasses,Black Lipstick,Crazy Hair"
1769,Male,4648,Dark,2,"Cap Forward,Mustache"
1770,Male,4356,Dark,3,"Frumpy Hair,Regular Shades,Smile"
1771,Male,8233,Albino,3,"Cap,Cigarette,Earring"
1772,Female,5700,Light,2,"Blue Eye Shadow,Messy Hair"
1773,Male,2117,Light,3,"Eye Patch,Muttonchops,Vampire Hair"
1774,Male,8911,Mid,2,"Knitted Cap,Nerd Glasses"
1775,Female,201,Mid,3,"Earring,Purple Eye Shadow,Tiara"
1776,Female,9297,Albino,2,"Hot Lipstick,Mohawk Thin"
1777,Male,1906,Light,2,"Gold Chain,Vampire Hair"
1778,Male,7393,Mid,2,"Do-rag,Muttonchops"
1779,Female,8126,Light,3,"Cap,Clown Eyes Green,Purple Lipstick"
1780,Female,1309,Mid,2,"Horned Rim Glasses,Wild White Hair"
1781,Male,6977,Light,2,"Headband,Normal Beard"
1782,Male,1364,Dark,3,"Cowboy Hat,Earring,Handlebars"
1783,Female,8073,Light,1,Mohawk Thin
1784,Male,3548,Light,3,"Classic Shades,Crazy Hair,Medical Mask"
1785,Male,9593,Light,2,"Earring,Wild Hair"
1786,Female,9490,Light,2,"Classic Shades,Wild Hair"
1787,Male,8325,Light,2,"Bandana,Small Shades"
1788,Male,9108,Mid,3,"Classic Shades,Earring,Mohawk"
1789,Female,1113,Light,2,"Blonde Short,Purple Eye Shadow"
1790,Male,8647,Albino,3,"Headband,Horned Rim Glasses,Mole"
1791,Male,4561,Light,2,"Classic Shades,Mole"
1792,Male,6848,Dark,3,"Earring,Mohawk Thin,Normal Beard Black"
1793,Female,1077,Mid,2,"Mohawk Thin,Rosy Cheeks"
1794,Male,5321,Albino,3,"Earring,Frown,Wild Hair"
1795,Female,1083,Mid,4,"Horned Rim Glasses,Hot Lipstick,Messy Hair,Rosy Cheeks"
1796,Female,1094,Dark,3,"Bandana,Black Lipstick,Rosy Cheeks"
1797,Male,5866,Dark,4,"Classic Shades,Mohawk,Muttonchops,Vape"
1798,Male,3494,Mid,3,"Cap Forward,Earring,Medical Mask"
1799,Female,2236,Light,3,"Black Lipstick,Classic Shades,Half Shaved"
1800,Female,5704,Mid,4,"Blue Eye Shadow,Mole,Purple Lipstick,Stringy Hair"
1801,Female,950,Light,2,"Crazy Hair,Spots"
1802,Male,1759,Light,4,"Big Beard,Cigarette,Fedora,Nerd Glasses"
1803,Female,9416,Dark,3,"Frumpy Hair,Hot Lipstick,Nerd Glasses"
1804,Female,9700,Light,2,"Messy Hair,Mole"
1805,Male,7532,Mid,2,"Do-rag,Regular Shades"
1806,Female,3049,Light,3,"Dark Hair,Eye Patch,Hot Lipstick"
1807,Female,5425,Light,2,"Messy Hair,Purple Eye Shadow"
1808,Male,6090,Mid,3,"Earring,Front Beard,Messy Hair"
1809,Male,6607,Mid,3,"Cap,Cigarette,Mustache"
1810,Male,9544,Mid,2,"Big Shades,Wild Hair"
1811,Male,2140,Light,2,"Pipe,Vampire Hair"
1812,Male,6972,Mid,4,"Earring,Headband,Nerd Glasses,Normal Beard"
1813,Female,8963,Dark,3,"Black Lipstick,Classic Shades,Mohawk Dark"
1814,Male,7693,Light,2,"Knitted Cap,Muttonchops"
1815,Female,5783,Dark,2,"Green Eye Shadow,Mohawk"
1816,Female,1211,Dark,2,"Blonde Short,Cigarette"
1817,Female,8808,Albino,3,"Crazy Hair,Earring,Purple Lipstick"
1818,Female,1195,Dark,2,"Blonde Short,Mole"
1819,Male,1763,Albino,4,"Big Beard,Classic Shades,Earring,Police Cap"
1820,Male,1796,Light,3,"Big Beard,Eye Mask,Messy Hair"
1821,Female,445,Mid,1,Welding Goggles
1822,Male,6772,Dark,3,"Cap,Normal Beard Black,Small Shades"
1823,Male,7221,Mid,3,"Earring,Goat,Shaved Head"
1824,Male,6996,Light,2,"Knitted Cap,Normal Beard"
1825,Male,4010,Dark,2,"Muttonchops,Police Cap"
1826,Female,4182,Light,3,"Clown Nose,Frumpy Hair,Horned Rim Glasses"
1827,Female,5784,Dark,2,"Green Eye Shadow,Mohawk Thin"
1828,Female,2345,Light,3,"Black Lipstick,Blonde Bob,Earring,Hidden Earring"
1829,Female,8973,Light,2,"Classic Shades,Mohawk Dark"
1830,Male,5103,Dark,3,"Earring,Front Beard Dark,Knitted Cap"
1831,Male,1757,Mid,4,"Bandana,Big Beard,Horned Rim Glasses,Medical Mask"
1832,Male,9662,Dark,2,"Horned Rim Glasses,Messy Hair"
1833,Male,5583,Dark,3,"Frumpy Hair,Handlebars,Nerd Glasses"
1834,Male,8218,Mid,3,"Cap,Earring,Mole"
1835,Female,5678,Dark,3,"Blue Eye Shadow,Frumpy Hair,Hot Lipstick"
1836,Male,4762,Light,2,"Cap Forward,Horned Rim Glasses"
1837,Female,8795,Mid,2,"Black Lipstick,Crazy Hair"
1838,Female,9317,Dark,2,"Cigarette,Mohawk Thin"
1839,Male,28,Dark,6,"Cigarette,Earring,Knitted Cap,Mustache,Nerd Glasses,Smile"
1840,Male,9061,Light,3,"Cigarette,Earring,Mohawk Dark"
1841,Female,5767,Dark,3,"Black Lipstick,Green Eye Shadow,Mohawk Thin"
1842,Male,9758,Mid,2,"Bandana,Eye Patch"
1843,Male,6504,Albino,3,"Earring,Luxurious Beard,Wild Hair"
1844,Female,1168,Light,2,"Blonde Short,Regular Shades"
1845,Male,8994,Light,2,"Mohawk Dark,Regular Shades"
1846,Male,1388,Dark,2,"Cowboy Hat,Luxurious Beard"
1847,Female,9250,Dark,3,"Black Lipstick,Earring,Mohawk"
1848,Male,8584,Dark,2,"Clown Eyes Blue,Stringy Hair"
1849,Female,3002,Mid,3,"Black Lipstick,Dark Hair,Green Eye Shadow"
1850,Female,1696,Light,2,"Black Lipstick,Wild Blonde"
1851,Male,3126,Mid,4,"Eye Mask,Frown,Handlebars,Purple Hair,Hidden Frown"
1852,Male,9072,Mid,2,"Earring,Mohawk Dark"
1853,Male,4587,Mid,3,"Cap Forward,Earring,Front Beard Dark"
1854,Female,400,Albino,4,"Blonde Short,Earring,Hot Lipstick,Welding Goggles"
1855,Female,9995,Dark,2,"Bandana,Earring"
1856,Female,9187,Dark,3,"Earring,Horned Rim Glasses,Mohawk Thin"
1857,Female,2534,Light,3,"Black Lipstick,Eye Mask,Straight Hair Dark"
1858,Male,9807,Light,2,"Big Shades,Stringy Hair"
1859,Female,5362,Mid,2,"Crazy Hair,Purple Eye Shadow"
1860,Female,1233,Dark,2,"Purple Eye Shadow,Wild White Hair"
1861,Female,5699,Mid,3,"Blue Eye Shadow,Earring,Messy Hair"
1862,Male,9602,Light,2,"Eye Patch,Messy Hair"
1863,Male,5023,Mid,4,"Earring,Eye Patch,Front Beard Dark,Shaved Head"
1864,Male,2579,Mid,3,"Clown Eyes Blue,Clown Hair Green,Mole"
1865,Female,401,Light,2,"Blonde Short,Welding Goggles"
1866,Female,2382,Light,2,"Blonde Bob,Purple Lipstick"
1867,Male,7736,Light,3,"Messy Hair,Muttonchops,Regular Shades"
1868,Female,5638,Light,2,"Blue Eye Shadow,Headband"
1869,Female,1584,Dark,2,"VR,Wild Blonde"
1870,Female,3552,Dark,2,"Knitted Cap,Medical Mask"
1871,Male,4316,Light,2,"Headband,Smile"
1872,Female,2278,Mid,2,"Half Shaved,Regular Shades"
1873,Female,2696,Albino,2,"Cigarette,Straight Hair Dark"
1874,Male,7678,Mid,3,"Earring,Headband,Muttonchops"
1875,Female,1731,Light,2,"Hot Lipstick,Straight Hair Blonde"
1876,Female,1600,Mid,3,"Clown Eyes Green,Hot Lipstick,Wild Blonde"
1877,Female,5369,Dark,3,"Earring,Knitted Cap,Purple Eye Shadow"
1878,Male,4820,Light,4,"Big Shades,Earring,Hoodie,Vape,Hidden Earring"
1879,Male,7039,Mid,4,"Earring,Frumpy Hair,Nerd Glasses,Normal Beard"
1880,Male,3859,Dark,2,"Fedora,Small Shades"
1881,Female,2669,Light,3,"Mole,Purple Lipstick,Straight Hair Dark"
1882,Male,7734,Mid,2,"Muttonchops,Wild Hair"
1883,Female,4529,Light,1,Purple Lipstick
1884,Male,2893,Albino,3,"Chinstrap,Peak Spike,Silver Chain"
1885,Female,3625,Dark,2,"Green Eye Shadow,Tassle Hat"
1886,Zombie,559,Zombie,2,"Messy Hair,Shadow Beard"
1887,Male,4067,Dark,2,"Nerd Glasses,Police Cap"
1888,Female,1743,Mid,2,"Earring,Wild Blonde"
1889,Male,6353,Mid,2,"Luxurious Beard,Peak Spike"
1890,Male,5101,Dark,4,"Cigarette,Earring,Front Beard Dark,Knitted Cap"
1891,Male,4076,Mid,2,"Cigarette,Police Cap"
1892,Female,8024,Albino,1,Cap
1893,Female,8579,Mid,3,"Clown Eyes Blue,Hot Lipstick,Stringy Hair"
1894,Male,7196,Mid,2,"Eye Mask,Stringy Hair"
1895,Female,9911,Light,3,"Bandana,Black Lipstick,Horned Rim Glasses"
1896,Male,8209,Mid,2,"Cap,Nerd Glasses"
1897,Male,7245,Mid,3,"Goat,Mohawk Dark,VR"
1898,Male,5081,Dark,3,"Earring,Front Beard Dark,Headband"
1899,Male,6865,Mid,2,"Frumpy Hair,Normal Beard Black"
1900,Female,9027,Mid,3,"Black Lipstick,Mohawk Dark,Mole"
1901,Male,6626,Dark,3,"Headband,Mustache,Regular Shades"
1902,Female,9972,Dark,2,"Bandana,Purple Lipstick"
1903,Male,77,Mid,1,Beanie
1904,Male,9463,Mid,2,"Cigarette,Frumpy Hair"
1905,Male,9405,Dark,2,"Frumpy Hair,Horned Rim Glasses"
1906,Female,1513,Dark,2,"Purple Eye Shadow,Straight Hair Blonde"
1907,Female,2995,Dark,3,"Blue Eye Shadow,Dark Hair,Purple Lipstick"
1908,Male,8653,Albino,2,"Headband,Horned Rim Glasses"
1909,Male,7367,Mid,3,"Bandana,Big Shades,Goat"
1910,Female,5354,Mid,4,"Crazy Hair,Earring,Mole,Purple Eye Shadow"
1911,Female,270,Albino,3,"Cigarette,Green Eye Shadow,Orange Side"
1912,Male,5247,Light,3,"Classic Shades,Frown,Peak Spike"
1913,Female,2850,Light,3,"Earring,Hot Lipstick,Straight Hair,Hidden Earring"
1914,Female,3454,Mid,4,"Classic Shades,Frumpy Hair,Gold Chain,Hot Lipstick"
1915,Female,9256,Light,2,"Black Lipstick,Mohawk"
1916,Male,6751,Mid,2,"Do-rag,Normal Beard Black"
1917,Female,5407,Mid,2,"Frumpy Hair,Purple Eye Shadow"
1918,Female,2396,Mid,3,"Blonde Bob,Earring,Hot Lipstick,Hidden Earring"
1919,Male,5250,Light,2,"Frown,Peak Spike"
1920,Male,7299,Albino,3,"Earring,Goat,Mohawk Dark"
1921,Male,8123,Light,4,"Cap,Clown Eyes Green,Earring,Mole"
1922,Male,7947,Albino,2,"Knitted Cap,VR"
1923,Male,5857,Mid,3,"Goat,Vape,Wild Hair"
1924,Female,2999,Dark,2,"Blue Eye Shadow,Dark Hair"
1925,Male,4957,Dark,2,"Classic Shades,Hoodie"
1926,Female,1207,Light,2,"Blonde Short,Hot Lipstick"
1927,Male,7715,Dark,2,"Mohawk Thin,Muttonchops"
1928,Male,8349,Dark,2,"Clown Eyes Green,Crazy Hair"
1929,Male,3921,Dark,2,"Front Beard Dark,Police Cap"
1930,Female,8486,Dark,2,"Clown Eyes Blue,Crazy Hair"
1931,Female,195,Dark,2,"Earring,Pilot Helmet,Hidden Earring"
1932,Male,7729,Mid,4,"Big Shades,Earring,Muttonchops,Wild Hair"
1933,Male,8849,Mid,2,"Eye Patch,Knitted Cap"
1934,Male,3821,Mid,3,"Fedora,Normal Beard,Small Shades"
1935,Zombie,528,Zombie,2,"Earring,Shaved Head"
1936,Female,2403,Light,2,"Half Shaved,Hot Lipstick"
1937,Female,2743,Mid,4,"Blue Eye Shadow,Earring,Purple Lipstick,Straight Hair,Hidden Earring"
1938,Male,2119,Dark,3,"Earring,Muttonchops,Vampire Hair"
1939,Female,7922,Light,2,"Bandana,Pipe"
1940,Female,5748,Dark,3,"Black Lipstick,Green Eye Shadow,Knitted Cap"
1941,Male,6508,Mid,3,"Earring,Luxurious Beard,Wild Hair"
1942,Male,6269,Light,2,"Bandana,Chinstrap"
1943,Male,5104,Dark,2,"Front Beard Dark,Knitted Cap"
1944,Female,9589,Mid,2,"Cigarette,Wild Hair"
1945,Male,9608,Mid,3,"Classic Shades,Earring,Messy Hair"
1946,Male,4952,Dark,2,"Eye Patch,Hoodie"
1947,Male,7392,Light,2,"Muttonchops,Shaved Head"
1948,Male,8960,Light,4,"Classic Shades,Earring,Mohawk Dark,Shadow Beard"
1949,Female,4417,Dark,3,"Big Shades,Hot Lipstick,Vape"
1950,Male,7591,Light,2,"Cigarette,Shaved Head"
1951,Female,2148,Mid,3,"Earring,Half Shaved,VR,Hidden Earring"
1952,Female,606,Light,3,"Clown Eyes Green,Pigtails,Purple Lipstick"
1953,Female,4528,Dark,1,Purple Lipstick
1954,Male,370,Light,3,"Buck Teeth,Muttonchops,Wild Hair"
1955,Male,3513,Mid,4,"Chinstrap,Earring,Knitted Cap,Medical Mask"
1956,Female,1622,Dark,2,"Clown Eyes Blue,Wild Blonde"
1957,Male,6441,Dark,2,"3D Glasses,Mohawk Dark"
1958,Female,1208,Mid,2,"Blonde Short,Hot Lipstick"
1959,Female,1675,Mid,2,"Big Shades,Wild Blonde"
1960,Male,8243,Light,2,"Cap,Earring"
1961,Male,5091,Dark,3,"Crazy Hair,Earring,Front Beard Dark"
1962,Female,5733,Light,3,"Earring,Green Eye Shadow,Headband"
1963,Female,3491,Mid,1,Medical Mask
1964,Male,1766,Dark,1,Big Beard
1965,Male,8390,Dark,3,"Clown Eyes Green,Earring,Mohawk"
1966,Male,6891,Albino,2,"Normal Beard Black,Stringy Hair"
1967,Female,137,Mid,3,"Black Lipstick,Choker,Wild Hair"
1968,Male,1753,Light,5,"Big Beard,Earring,Mohawk Dark,Mole,Regular Shades"
1969,Male,9668,Mid,2,"Horned Rim Glasses,Messy Hair"
1970,Male,7285,Dark,2,"Crazy Hair,Goat"
1971,Female,3006,Light,3,"Dark Hair,Green Eye Shadow,Hot Lipstick"
1972,Female,115,Light,2,"Choker,Half Shaved"
1973,Male,4569,Mid,2,"Cigarette,Horned Rim Glasses"
1974,Female,2314,Dark,4,"Black Lipstick,Earring,Nerd Glasses,Red Mohawk"
1975,Male,5021,Mid,3,"Clown Eyes Green,Do-rag,Front Beard Dark"
1976,Male,8295,Mid,2,"Frumpy Hair,Small Shades"
1977,Female,5787,Mid,2,"Green Eye Shadow,Mohawk"
1978,Male,6192,Light,3,"Chinstrap,Crazy Hair,Eye Patch"
1979,Female,1907,Mid,2,"Gold Chain,Red Mohawk"
1980,Female,2273,Dark,2,"Blonde Bob,Regular Shades"
1981,Male,9423,Dark,2,"Frumpy Hair,Nerd Glasses"
1982,Female,2495,Dark,3,"Green Eye Shadow,Hot Lipstick,Straight Hair Dark"
1983,Male,4656,Dark,3,"Cap Forward,Earring,Normal Beard Black"
1984,Female,2832,Mid,4,"Black Lipstick,Cigarette,Earring,Straight Hair,Hidden Earring"
1985,Female,1150,Mid,3,"Blonde Short,Clown Eyes Blue,Hot Lipstick"
1986,Female,1620,Mid,3,"Clown Eyes Blue,Earring,Wild Blonde"
1987,Male,5158,Mid,3,"Front Beard Dark,Regular Shades,Stringy Hair"
1988,Female,8457,Dark,3,"Bandana,Clown Eyes Green,Purple Lipstick"
1989,Male,8258,Mid,2,"Crazy Hair,Small Shades"
1990,Female,3608,Mid,4,"Blue Eye Shadow,Earring,Purple Lipstick,Tassle Hat,Hidden Earring"
1991,Male,3823,Dark,3,"Fedora,Normal Beard,Regular Shades"
1992,Male,9383,Dark,2,"Frumpy Hair,Regular Shades"
1993,Male,6405,Albino,2,"Crazy Hair,Luxurious Beard"
1994,Female,2253,Mid,2,"Blonde Bob,Classic Shades"
1995,Male,5995,Dark,3,"Cap,Front Beard,Mole"
1996,Female,3020,Mid,2,"Dark Hair,Pipe"
1997,Male,4187,Mid,3,"Cigarette,Clown Nose,Frumpy Hair"
1998,Male,7540,Dark,3,"Big Shades,Earring,Shaved Head"
1999,Male,1376,Dark,2,"Cowboy Hat,Front Beard"
2000,Female,234,Dark,3,"Big Shades,Earring,Tiara"
2001,Female,9847,Mid,3,"Earring,Purple Lipstick,Stringy Hair"
2002,Male,9622,Albino,2,"Messy Hair,Shadow Beard"
2003,Male,8662,Light,2,"Headband,Horned Rim Glasses"
2004,Male,5582,Mid,3,"Eye Patch,Frumpy Hair,Handlebars"
2005,Male,8897,Light,2,"Horned Rim Glasses,Knitted Cap"
2006,Male,5090,Light,4,"Cigarette,Crazy Hair,Earring,Front Beard Dark"
2007,Female,2404,Light,2,"Blonde Bob,Hot Lipstick"
2008,Female,2422,Dark,2,"Earring,Red Mohawk"
2009,Male,3992,Dark,3,"Earring,Normal Beard,Police Cap"
2010,Male,3122,Mid,3,"Classic Shades,Front Beard Dark,Purple Hair"
2011,Male,4691,Light,3,"Cap Forward,Muttonchops,Nerd Glasses"
2012,Female,9450,Dark,3,"Cigarette,Frumpy Hair,Hot Lipstick"
2013,Female,8056,Albino,1,Mohawk Dark
2014,Female,3618,Dark,3,"Green Eye Shadow,Hot Lipstick,Tassle Hat"
2015,Female,730,Light,3,"Earring,Nerd Glasses,Pink With Hat,Hidden Earring"
2016,Female,657,Mid,2,"Earring,Pigtails"
2017,Female,9698,Dark,2,"Messy Hair,Mole"
2018,Female,2032,Light,3,"Blonde Bob,Clown Eyes Blue,Vape"
2019,Female,8369,Dark,2,"Clown Eyes Green,Mohawk Dark"
2020,Male,1447,Dark,2,"Classic Shades,Cowboy Hat"
2021,Male,9946,Mid,2,"Bandana,Nerd Glasses"
